STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00025333,"SITKA AIRPORT, AK US",2018/1/1,0.45,,48,38
USW00025333,"SITKA AIRPORT, AK US",2018/1/2,0.56,,48,43
USW00025333,"SITKA AIRPORT, AK US",2018/1/3,0.4,,46,41
USW00025333,"SITKA AIRPORT, AK US",2018/1/4,0.99,,42,40
USW00025333,"SITKA AIRPORT, AK US",2018/1/5,0.25,,46,38
USW00025333,"SITKA AIRPORT, AK US",2018/1/6,0.46,,,37
USW00025333,"SITKA AIRPORT, AK US",2018/1/7,0.01,,39,30
USW00025333,"SITKA AIRPORT, AK US",2018/1/8,0,,36,28
USW00025333,"SITKA AIRPORT, AK US",2018/1/9,0.13,,34,25
USW00025333,"SITKA AIRPORT, AK US",2018/1/10,0,,28,24
USW00025333,"SITKA AIRPORT, AK US",2018/1/11,0,,34,23
USW00025333,"SITKA AIRPORT, AK US",2018/1/12,0.18,,41,33
USW00025333,"SITKA AIRPORT, AK US",2018/1/13,0.05,,53,41
USW00025333,"SITKA AIRPORT, AK US",2018/1/14,0.07,,63,52
USW00025333,"SITKA AIRPORT, AK US",2018/1/15,0.01,,60,52
USW00025333,"SITKA AIRPORT, AK US",2018/1/16,0.4,,54,41
USW00025333,"SITKA AIRPORT, AK US",2018/1/17,0.01,,47,36
USW00025333,"SITKA AIRPORT, AK US",2018/1/18,0,,46,35
USW00025333,"SITKA AIRPORT, AK US",2018/1/19,0,,42,37
USW00025333,"SITKA AIRPORT, AK US",2018/1/20,0,,45,39
USW00025333,"SITKA AIRPORT, AK US",2018/1/21,0,,43,36
USW00025333,"SITKA AIRPORT, AK US",2018/1/22,0.42,,41,33
USW00025333,"SITKA AIRPORT, AK US",2018/1/23,0,,41,33
USW00025333,"SITKA AIRPORT, AK US",2018/1/24,0.04,,40,34
USW00025333,"SITKA AIRPORT, AK US",2018/1/25,0,,40,31
USW00025333,"SITKA AIRPORT, AK US",2018/1/26,0.16,,41,31
USW00025333,"SITKA AIRPORT, AK US",2018/1/27,0,,39,29
USW00025333,"SITKA AIRPORT, AK US",2018/1/28,0,,40,34
USW00025333,"SITKA AIRPORT, AK US",2018/1/29,0,,40,36
USW00025333,"SITKA AIRPORT, AK US",2018/1/30,0,,39,31
USW00025333,"SITKA AIRPORT, AK US",2018/1/31,0,,36,29
USW00025333,"SITKA AIRPORT, AK US",2018/2/1,0,,35,31
USW00025333,"SITKA AIRPORT, AK US",2018/2/2,0,,35,26
USW00025333,"SITKA AIRPORT, AK US",2018/2/3,0,,34,24
USW00025333,"SITKA AIRPORT, AK US",2018/2/4,0,,42,28
USW00025333,"SITKA AIRPORT, AK US",2018/2/5,0,,41,28
USW00025333,"SITKA AIRPORT, AK US",2018/2/6,0.1,,39,33
USW00025333,"SITKA AIRPORT, AK US",2018/2/7,0,,42,31
USW00025333,"SITKA AIRPORT, AK US",2018/2/8,0,,39,28
USW00025333,"SITKA AIRPORT, AK US",2018/2/9,0,,37,25
USW00025333,"SITKA AIRPORT, AK US",2018/2/10,0,,37,24
USW00025333,"SITKA AIRPORT, AK US",2018/2/11,0,,40,32
USW00025333,"SITKA AIRPORT, AK US",2018/2/12,1.24,,43,35
USW00025333,"SITKA AIRPORT, AK US",2018/2/13,0.37,,41,31
USW00025333,"SITKA AIRPORT, AK US",2018/2/14,0,,40,29
USW00025333,"SITKA AIRPORT, AK US",2018/2/15,0.43,,38,33
USW00025333,"SITKA AIRPORT, AK US",2018/2/16,0,,36,28
USW00025333,"SITKA AIRPORT, AK US",2018/2/17,0,,37,30
USW00025333,"SITKA AIRPORT, AK US",2018/2/18,0,,39,25
USW00025333,"SITKA AIRPORT, AK US",2018/2/19,0.03,,39,29
USW00025333,"SITKA AIRPORT, AK US",2018/2/20,0.03,,38,28
USW00025333,"SITKA AIRPORT, AK US",2018/2/21,0,,41,29
USW00025333,"SITKA AIRPORT, AK US",2018/2/22,0.46,,42,34
USW00025333,"SITKA AIRPORT, AK US",2018/2/23,0.24,,41,30
USW00025333,"SITKA AIRPORT, AK US",2018/2/24,0.58,,39,30
USW00025333,"SITKA AIRPORT, AK US",2018/2/25,0.02,,38,32
USW00025333,"SITKA AIRPORT, AK US",2018/2/26,0.45,,42,33
USW00025333,"SITKA AIRPORT, AK US",2018/2/27,0.32,,39,32
USW00025333,"SITKA AIRPORT, AK US",2018/2/28,0.6,,40,30
USW00025333,"SITKA AIRPORT, AK US",2018/3/1,0,,35,27
USW00025333,"SITKA AIRPORT, AK US",2018/3/2,0,,40,26
USW00025333,"SITKA AIRPORT, AK US",2018/3/3,0,,41,25
USW00025333,"SITKA AIRPORT, AK US",2018/3/4,0,,40,27
USW00025333,"SITKA AIRPORT, AK US",2018/3/5,0,,39,25
USW00025333,"SITKA AIRPORT, AK US",2018/3/6,0,,39,31
USW00025333,"SITKA AIRPORT, AK US",2018/3/7,0.31,,40,32
USW00025333,"SITKA AIRPORT, AK US",2018/3/8,0.24,,39,33
USW00025333,"SITKA AIRPORT, AK US",2018/3/9,0.42,,42,33
USW00025333,"SITKA AIRPORT, AK US",2018/3/10,0.48,,43,34
USW00025333,"SITKA AIRPORT, AK US",2018/3/11,0.51,,44,34
USW00025333,"SITKA AIRPORT, AK US",2018/3/12,0.01,,54,36
USW00025333,"SITKA AIRPORT, AK US",2018/3/13,0,,58,39
USW00025333,"SITKA AIRPORT, AK US",2018/3/14,0,,54,42
USW00025333,"SITKA AIRPORT, AK US",2018/3/15,0,,45,36
USW00025333,"SITKA AIRPORT, AK US",2018/3/16,0,,45,36
USW00025333,"SITKA AIRPORT, AK US",2018/3/17,0,,45,34
USW00025333,"SITKA AIRPORT, AK US",2018/3/18,0.02,,43,33
USW00025333,"SITKA AIRPORT, AK US",2018/3/19,0.9,,41,36
USW00025333,"SITKA AIRPORT, AK US",2018/3/20,0.17,,41,33
USW00025333,"SITKA AIRPORT, AK US",2018/3/21,0,,42,30
USW00025333,"SITKA AIRPORT, AK US",2018/3/22,0,,46,34
USW00025333,"SITKA AIRPORT, AK US",2018/3/23,0,,42,31
USW00025333,"SITKA AIRPORT, AK US",2018/3/24,0.01,,42,28
USW00025333,"SITKA AIRPORT, AK US",2018/3/25,0,,41,32
USW00025333,"SITKA AIRPORT, AK US",2018/3/26,0.49,,42,31
USW00025333,"SITKA AIRPORT, AK US",2018/3/27,0.22,,43,38
USW00025333,"SITKA AIRPORT, AK US",2018/3/28,0.07,,43,36
USW00025333,"SITKA AIRPORT, AK US",2018/3/29,0,,46,33
USW00025333,"SITKA AIRPORT, AK US",2018/3/30,0.05,,45,28
USW00025333,"SITKA AIRPORT, AK US",2018/3/31,0,,43,33
USW00025333,"SITKA AIRPORT, AK US",2018/4/1,0,,45,31
USW00025333,"SITKA AIRPORT, AK US",2018/4/2,0,,41,30
USW00025333,"SITKA AIRPORT, AK US",2018/4/3,0,,43,28
USW00025333,"SITKA AIRPORT, AK US",2018/4/4,0,,45,31
USW00025333,"SITKA AIRPORT, AK US",2018/4/5,0,,52,38
USW00025333,"SITKA AIRPORT, AK US",2018/4/6,0,,51,45
USW00025333,"SITKA AIRPORT, AK US",2018/4/7,0,,59,38
USW00025333,"SITKA AIRPORT, AK US",2018/4/8,0.02,,52,40
USW00025333,"SITKA AIRPORT, AK US",2018/4/9,0.01,,54,43
USW00025333,"SITKA AIRPORT, AK US",2018/4/10,0,,57,45
USW00025333,"SITKA AIRPORT, AK US",2018/4/11,0,,58,43
USW00025333,"SITKA AIRPORT, AK US",2018/4/12,0.01,,51,43
USW00025333,"SITKA AIRPORT, AK US",2018/4/13,0.01,,51,40
USW00025333,"SITKA AIRPORT, AK US",2018/4/14,0.05,,48,37
USW00025333,"SITKA AIRPORT, AK US",2018/4/15,0,,50,34
USW00025333,"SITKA AIRPORT, AK US",2018/4/16,0,,49,35
USW00025333,"SITKA AIRPORT, AK US",2018/4/17,0,,46,34
USW00025333,"SITKA AIRPORT, AK US",2018/4/18,0.95,,46,41
USW00025333,"SITKA AIRPORT, AK US",2018/4/19,0.85,,45,40
USW00025333,"SITKA AIRPORT, AK US",2018/4/20,0.06,,45,34
USW00025333,"SITKA AIRPORT, AK US",2018/4/21,0.22,,47,32
USW00025333,"SITKA AIRPORT, AK US",2018/4/22,0.13,,47,41
USW00025333,"SITKA AIRPORT, AK US",2018/4/23,0.49,,45,43
USW00025333,"SITKA AIRPORT, AK US",2018/4/24,0.23,,46,41
USW00025333,"SITKA AIRPORT, AK US",2018/4/25,0.11,,45,41
USW00025333,"SITKA AIRPORT, AK US",2018/4/26,0.04,,45,41
USW00025333,"SITKA AIRPORT, AK US",2018/4/27,0.01,,46,40
USW00025333,"SITKA AIRPORT, AK US",2018/4/28,0.02,,47,38
USW00025333,"SITKA AIRPORT, AK US",2018/4/29,0.01,,46,38
USW00025333,"SITKA AIRPORT, AK US",2018/4/30,0.08,,44,39
USW00025333,"SITKA AIRPORT, AK US",2018/5/1,0.88,,44,42
USW00025333,"SITKA AIRPORT, AK US",2018/5/2,0.14,,47,36
USW00025333,"SITKA AIRPORT, AK US",2018/5/3,0.03,,45,36
USW00025333,"SITKA AIRPORT, AK US",2018/5/4,0.1,,48,42
USW00025333,"SITKA AIRPORT, AK US",2018/5/5,0.31,,50,44
USW00025333,"SITKA AIRPORT, AK US",2018/5/6,0,,56,41
USW00025333,"SITKA AIRPORT, AK US",2018/5/7,0,,53,43
USW00025333,"SITKA AIRPORT, AK US",2018/5/8,0,,51,43
USW00025333,"SITKA AIRPORT, AK US",2018/5/9,0.2,,56,43
USW00025333,"SITKA AIRPORT, AK US",2018/5/10,0,,52,43
USW00025333,"SITKA AIRPORT, AK US",2018/5/11,0.76,,48,44
USW00025333,"SITKA AIRPORT, AK US",2018/5/12,0.16,,49,44
USW00025333,"SITKA AIRPORT, AK US",2018/5/13,0.16,,54,43
USW00025333,"SITKA AIRPORT, AK US",2018/5/14,0.27,,45,39
USW00025333,"SITKA AIRPORT, AK US",2018/5/15,0.03,,50,38
USW00025333,"SITKA AIRPORT, AK US",2018/5/16,0,,51,38
USW00025333,"SITKA AIRPORT, AK US",2018/5/17,0,,57,38
USW00025333,"SITKA AIRPORT, AK US",2018/5/18,0,,52,45
USW00025333,"SITKA AIRPORT, AK US",2018/5/19,0,,50,45
USW00025333,"SITKA AIRPORT, AK US",2018/5/20,0.37,,52,46
USW00025333,"SITKA AIRPORT, AK US",2018/5/21,0.63,,53,47
USW00025333,"SITKA AIRPORT, AK US",2018/5/22,0.16,,52,44
USW00025333,"SITKA AIRPORT, AK US",2018/5/23,0,,55,42
USW00025333,"SITKA AIRPORT, AK US",2018/5/24,0.17,,52,45
USW00025333,"SITKA AIRPORT, AK US",2018/5/25,0.11,,50,45
USW00025333,"SITKA AIRPORT, AK US",2018/5/26,0.31,,52,44
USW00025333,"SITKA AIRPORT, AK US",2018/5/27,0.23,,51,45
USW00025333,"SITKA AIRPORT, AK US",2018/5/28,1.03,,50,42
USW00025333,"SITKA AIRPORT, AK US",2018/5/29,0,,54,41
USW00025333,"SITKA AIRPORT, AK US",2018/5/30,0,,53,44
USW00025333,"SITKA AIRPORT, AK US",2018/5/31,0,,54,42
USW00025333,"SITKA AIRPORT, AK US",2018/6/1,0.02,,58,44
USW00025333,"SITKA AIRPORT, AK US",2018/6/2,0.19,,53,45
USW00025333,"SITKA AIRPORT, AK US",2018/6/3,0,,57,43
USW00025333,"SITKA AIRPORT, AK US",2018/6/4,0.07,,52,46
USW00025333,"SITKA AIRPORT, AK US",2018/6/5,0,,63,44
USW00025333,"SITKA AIRPORT, AK US",2018/6/6,0.07,,57,47
USW00025333,"SITKA AIRPORT, AK US",2018/6/7,0.04,,59,48
USW00025333,"SITKA AIRPORT, AK US",2018/6/8,0.02,,59,45
USW00025333,"SITKA AIRPORT, AK US",2018/6/9,0.19,,60,44
USW00025333,"SITKA AIRPORT, AK US",2018/6/10,1.09,,53,46
USW00025333,"SITKA AIRPORT, AK US",2018/6/11,0.07,,51,49
USW00025333,"SITKA AIRPORT, AK US",2018/6/12,0.02,,63,46
USW00025333,"SITKA AIRPORT, AK US",2018/6/13,0.1,,56,49
USW00025333,"SITKA AIRPORT, AK US",2018/6/14,0.01,,54,49
USW00025333,"SITKA AIRPORT, AK US",2018/6/15,0,,60,50
USW00025333,"SITKA AIRPORT, AK US",2018/6/16,0.36,,57,48
USW00025333,"SITKA AIRPORT, AK US",2018/6/17,0.02,,54,52
USW00025333,"SITKA AIRPORT, AK US",2018/6/18,0,,62,52
USW00025333,"SITKA AIRPORT, AK US",2018/6/19,0,,67,52
USW00025333,"SITKA AIRPORT, AK US",2018/6/20,0,,62,52
USW00025333,"SITKA AIRPORT, AK US",2018/6/21,0,,57,52
USW00025333,"SITKA AIRPORT, AK US",2018/6/22,0,,60,52
USW00025333,"SITKA AIRPORT, AK US",2018/6/23,0,,57,49
USW00025333,"SITKA AIRPORT, AK US",2018/6/24,0.05,,61,50
USW00025333,"SITKA AIRPORT, AK US",2018/6/25,0.01,,60,50
USW00025333,"SITKA AIRPORT, AK US",2018/6/26,0.11,,55,49
USW00025333,"SITKA AIRPORT, AK US",2018/6/27,0,,56,50
USW00025333,"SITKA AIRPORT, AK US",2018/6/28,0.2,,61,50
USW00025333,"SITKA AIRPORT, AK US",2018/6/29,0.38,,57,51
USW00025333,"SITKA AIRPORT, AK US",2018/6/30,0.14,,57,51
USW00025333,"SITKA AIRPORT, AK US",2018/7/1,0.25,,62,50
USW00025333,"SITKA AIRPORT, AK US",2018/7/2,0.01,,58,53
USW00025333,"SITKA AIRPORT, AK US",2018/7/3,0,,70,54
USW00025333,"SITKA AIRPORT, AK US",2018/7/4,0,,70,55
USW00025333,"SITKA AIRPORT, AK US",2018/7/5,0,,67,55
USW00025333,"SITKA AIRPORT, AK US",2018/7/6,0,,59,55
USW00025333,"SITKA AIRPORT, AK US",2018/7/7,0,,58,55
USW00025333,"SITKA AIRPORT, AK US",2018/7/8,0,,62,54
USW00025333,"SITKA AIRPORT, AK US",2018/7/9,0,,66,55
USW00025333,"SITKA AIRPORT, AK US",2018/7/10,0.44,,59,53
USW00025333,"SITKA AIRPORT, AK US",2018/7/11,0.29,,56,50
USW00025333,"SITKA AIRPORT, AK US",2018/7/12,0.02,,63,49
USW00025333,"SITKA AIRPORT, AK US",2018/7/13,0,,65,48
USW00025333,"SITKA AIRPORT, AK US",2018/7/14,0.32,,58,52
USW00025333,"SITKA AIRPORT, AK US",2018/7/15,0.75,,56,52
USW00025333,"SITKA AIRPORT, AK US",2018/7/16,0.61,,59,52
USW00025333,"SITKA AIRPORT, AK US",2018/7/17,0,,64,52
USW00025333,"SITKA AIRPORT, AK US",2018/7/18,0.16,,60,53
USW00025333,"SITKA AIRPORT, AK US",2018/7/19,0.14,,60,53
USW00025333,"SITKA AIRPORT, AK US",2018/7/20,0,,61,56
USW00025333,"SITKA AIRPORT, AK US",2018/7/21,0,,65,55
USW00025333,"SITKA AIRPORT, AK US",2018/7/22,0,,65,54
USW00025333,"SITKA AIRPORT, AK US",2018/7/23,0,,63,54
USW00025333,"SITKA AIRPORT, AK US",2018/7/24,0,,59,52
USW00025333,"SITKA AIRPORT, AK US",2018/7/25,0,,64,52
USW00025333,"SITKA AIRPORT, AK US",2018/7/26,0,,65,58
USW00025333,"SITKA AIRPORT, AK US",2018/7/27,0,,68,58
USW00025333,"SITKA AIRPORT, AK US",2018/7/28,0,,66,56
USW00025333,"SITKA AIRPORT, AK US",2018/7/29,0,,64,56
USW00025333,"SITKA AIRPORT, AK US",2018/7/30,0,,67,58
USW00025333,"SITKA AIRPORT, AK US",2018/7/31,0,,65,56
USW00025333,"SITKA AIRPORT, AK US",2018/8/1,0,,66,56
USW00025333,"SITKA AIRPORT, AK US",2018/8/2,0.17,,59,56
USW00025333,"SITKA AIRPORT, AK US",2018/8/3,0.01,,67,55
USW00025333,"SITKA AIRPORT, AK US",2018/8/4,0,,73,55
USW00025333,"SITKA AIRPORT, AK US",2018/8/5,0,,72,54
USW00025333,"SITKA AIRPORT, AK US",2018/8/6,0,,64,56
USW00025333,"SITKA AIRPORT, AK US",2018/8/7,0.07,,62,55
USW00025333,"SITKA AIRPORT, AK US",2018/8/8,2.62,,61,57
USW00025333,"SITKA AIRPORT, AK US",2018/8/9,0.65,,61,55
USW00025333,"SITKA AIRPORT, AK US",2018/8/10,0.01,,63,53
USW00025333,"SITKA AIRPORT, AK US",2018/8/11,0,,65,51
USW00025333,"SITKA AIRPORT, AK US",2018/8/12,0.05,,62,56
USW00025333,"SITKA AIRPORT, AK US",2018/8/13,1.29,,59,56
USW00025333,"SITKA AIRPORT, AK US",2018/8/14,0.09,,61,55
USW00025333,"SITKA AIRPORT, AK US",2018/8/15,0,,60,52
USW00025333,"SITKA AIRPORT, AK US",2018/8/16,0,,63,53
USW00025333,"SITKA AIRPORT, AK US",2018/8/17,0.2,,66,52
USW00025333,"SITKA AIRPORT, AK US",2018/8/18,0,,63,51
USW00025333,"SITKA AIRPORT, AK US",2018/8/19,0,,67,51
USW00025333,"SITKA AIRPORT, AK US",2018/8/20,0,,65,52
USW00025333,"SITKA AIRPORT, AK US",2018/8/21,0.25,,63,55
USW00025333,"SITKA AIRPORT, AK US",2018/8/22,0.46,,59,55
USW00025333,"SITKA AIRPORT, AK US",2018/8/23,0.02,,60,55
USW00025333,"SITKA AIRPORT, AK US",2018/8/24,0.39,,58,54
USW00025333,"SITKA AIRPORT, AK US",2018/8/25,0.32,,58,54
USW00025333,"SITKA AIRPORT, AK US",2018/8/26,0,,63,51
USW00025333,"SITKA AIRPORT, AK US",2018/8/27,0.63,,59,55
USW00025333,"SITKA AIRPORT, AK US",2018/8/28,1.33,,61,56
USW00025333,"SITKA AIRPORT, AK US",2018/8/29,0,,62,53
USW00025333,"SITKA AIRPORT, AK US",2018/8/30,0.21,,61,53
USW00025333,"SITKA AIRPORT, AK US",2018/8/31,0.23,,61,54
USW00025333,"SITKA AIRPORT, AK US",2018/9/1,0.39,,57,52
USW00025333,"SITKA AIRPORT, AK US",2018/9/2,0,,63,49
USW00025333,"SITKA AIRPORT, AK US",2018/9/3,0,,62,48
USW00025333,"SITKA AIRPORT, AK US",2018/9/4,0,,65,48
USW00025333,"SITKA AIRPORT, AK US",2018/9/5,0,,67,50
USW00025333,"SITKA AIRPORT, AK US",2018/9/6,0,,64,50
USW00025333,"SITKA AIRPORT, AK US",2018/9/7,0.14,,65,52
USW00025333,"SITKA AIRPORT, AK US",2018/9/8,0.01,,68,55
USW00025333,"SITKA AIRPORT, AK US",2018/9/9,0.01,,66,54
USW00025333,"SITKA AIRPORT, AK US",2018/9/10,0,,71,51
USW00025333,"SITKA AIRPORT, AK US",2018/9/11,0,,69,50
USW00025333,"SITKA AIRPORT, AK US",2018/9/12,0,,67,47
USW00025333,"SITKA AIRPORT, AK US",2018/9/13,0,,61,49
USW00025333,"SITKA AIRPORT, AK US",2018/9/14,0,,65,46
USW00025333,"SITKA AIRPORT, AK US",2018/9/15,0,,62,45
USW00025333,"SITKA AIRPORT, AK US",2018/9/16,0,,59,41
USW00025333,"SITKA AIRPORT, AK US",2018/9/17,0,,60,41
USW00025333,"SITKA AIRPORT, AK US",2018/9/18,0,,64,44
USW00025333,"SITKA AIRPORT, AK US",2018/9/19,0,,63,42
USW00025333,"SITKA AIRPORT, AK US",2018/9/20,0,,58,43
USW00025333,"SITKA AIRPORT, AK US",2018/9/21,0,,64,43
USW00025333,"SITKA AIRPORT, AK US",2018/9/22,0.12,,56,43
USW00025333,"SITKA AIRPORT, AK US",2018/9/23,0.79,,56,50
USW00025333,"SITKA AIRPORT, AK US",2018/9/24,0.22,,56,50
USW00025333,"SITKA AIRPORT, AK US",2018/9/25,1.52,,57,54
USW00025333,"SITKA AIRPORT, AK US",2018/9/26,0.31,,57,53
USW00025333,"SITKA AIRPORT, AK US",2018/9/27,0.03,,57,53
USW00025333,"SITKA AIRPORT, AK US",2018/9/28,0.01,,61,50
USW00025333,"SITKA AIRPORT, AK US",2018/9/29,0,,64,45
USW00025333,"SITKA AIRPORT, AK US",2018/9/30,0,,63,43
USW00025333,"SITKA AIRPORT, AK US",2018/10/1,0,,66,41
USW00025333,"SITKA AIRPORT, AK US",2018/10/2,0,,56,40
USW00025333,"SITKA AIRPORT, AK US",2018/10/3,0,,54,38
USW00025333,"SITKA AIRPORT, AK US",2018/10/4,0.01,,54,38
USW00025333,"SITKA AIRPORT, AK US",2018/10/5,0.78,,57,49
USW00025333,"SITKA AIRPORT, AK US",2018/10/6,0.08,,52,48
USW00025333,"SITKA AIRPORT, AK US",2018/10/7,0.25,,53,49
USW00025333,"SITKA AIRPORT, AK US",2018/10/8,0.23,,56,42
USW00025333,"SITKA AIRPORT, AK US",2018/10/9,0,,54,40
USW00025333,"SITKA AIRPORT, AK US",2018/10/10,1.51,,53,45
USW00025333,"SITKA AIRPORT, AK US",2018/10/11,0.4,,52,46
USW00025333,"SITKA AIRPORT, AK US",2018/10/12,0.02,,54,43
USW00025333,"SITKA AIRPORT, AK US",2018/10/13,0.4,,56,47
USW00025333,"SITKA AIRPORT, AK US",2018/10/14,0.38,,57,54
USW00025333,"SITKA AIRPORT, AK US",2018/10/15,0.02,,60,53
USW00025333,"SITKA AIRPORT, AK US",2018/10/16,1.5,,59,51
USW00025333,"SITKA AIRPORT, AK US",2018/10/17,0.16,,55,49
USW00025333,"SITKA AIRPORT, AK US",2018/10/18,0.08,,55,48
USW00025333,"SITKA AIRPORT, AK US",2018/10/19,0.87,,56,49
USW00025333,"SITKA AIRPORT, AK US",2018/10/20,0.2,,54,48
USW00025333,"SITKA AIRPORT, AK US",2018/10/21,0.08,,56,50
USW00025333,"SITKA AIRPORT, AK US",2018/10/22,0.93,,61,48
USW00025333,"SITKA AIRPORT, AK US",2018/10/23,0.25,,61,51
USW00025333,"SITKA AIRPORT, AK US",2018/10/24,0,,55,50
USW00025333,"SITKA AIRPORT, AK US",2018/10/25,0.49,,55,48
USW00025333,"SITKA AIRPORT, AK US",2018/10/26,0.6,,51,44
USW00025333,"SITKA AIRPORT, AK US",2018/10/27,0.01,,54,46
USW00025333,"SITKA AIRPORT, AK US",2018/10/28,0,,54,45
USW00025333,"SITKA AIRPORT, AK US",2018/10/29,0.24,,55,46
USW00025333,"SITKA AIRPORT, AK US",2018/10/30,0.23,,51,41
USW00025333,"SITKA AIRPORT, AK US",2018/10/31,0.03,,47,39
USW00025333,"SITKA AIRPORT, AK US",2018/11/1,0.06,,49,43
USW00025333,"SITKA AIRPORT, AK US",2018/11/2,0.3,,45,40
USW00025333,"SITKA AIRPORT, AK US",2018/11/3,0.35,,50,44
USW00025333,"SITKA AIRPORT, AK US",2018/11/4,0.3,,48,44
USW00025333,"SITKA AIRPORT, AK US",2018/11/5,0.01,,47,35
USW00025333,"SITKA AIRPORT, AK US",2018/11/6,0,,46,32
USW00025333,"SITKA AIRPORT, AK US",2018/11/7,0.04,,50,33
USW00025333,"SITKA AIRPORT, AK US",2018/11/8,0.49,,51,45
USW00025333,"SITKA AIRPORT, AK US",2018/11/9,0.25,,50,43
USW00025333,"SITKA AIRPORT, AK US",2018/11/10,0.23,,47,43
USW00025333,"SITKA AIRPORT, AK US",2018/11/11,0.13,,50,45
USW00025333,"SITKA AIRPORT, AK US",2018/11/12,0.08,,54,49
USW00025333,"SITKA AIRPORT, AK US",2018/11/13,0.56,,53,46
USW00025333,"SITKA AIRPORT, AK US",2018/11/14,0.92,,49,45
USW00025333,"SITKA AIRPORT, AK US",2018/11/15,0.14,,48,37
USW00025333,"SITKA AIRPORT, AK US",2018/11/16,0.52,,48,36
USW00025333,"SITKA AIRPORT, AK US",2018/11/17,1.65,,54,47
USW00025333,"SITKA AIRPORT, AK US",2018/11/18,0.88,,52,47
USW00025333,"SITKA AIRPORT, AK US",2018/11/19,0.02,,52,45
USW00025333,"SITKA AIRPORT, AK US",2018/11/20,0.43,,51,43
USW00025333,"SITKA AIRPORT, AK US",2018/11/21,0.06,,46,38
USW00025333,"SITKA AIRPORT, AK US",2018/11/22,0.18,,47,39
USW00025333,"SITKA AIRPORT, AK US",2018/11/23,0,,44,34
USW00025333,"SITKA AIRPORT, AK US",2018/11/24,0.04,,48,36
USW00025333,"SITKA AIRPORT, AK US",2018/11/25,0.04,,54,48
USW00025333,"SITKA AIRPORT, AK US",2018/11/26,0.73,,53,46
USW00025333,"SITKA AIRPORT, AK US",2018/11/27,0,,47,41
USW00025333,"SITKA AIRPORT, AK US",2018/11/28,0.28,,45,40
USW00025333,"SITKA AIRPORT, AK US",2018/11/29,0.13,,43,34
USW00025333,"SITKA AIRPORT, AK US",2018/11/30,0.03,,39,31
USW00025333,"SITKA AIRPORT, AK US",2018/12/1,0,,36,28
USW00025333,"SITKA AIRPORT, AK US",2018/12/2,0.02,,39,32
USW00025333,"SITKA AIRPORT, AK US",2018/12/3,0.02,,39,32
USW00025333,"SITKA AIRPORT, AK US",2018/12/4,0.02,,41,35
USW00025333,"SITKA AIRPORT, AK US",2018/12/5,0,,41,35
USW00025333,"SITKA AIRPORT, AK US",2018/12/6,0.01,,44,39
USW00025333,"SITKA AIRPORT, AK US",2018/12/7,0.04,,48,40
USW00025333,"SITKA AIRPORT, AK US",2018/12/8,0.06,,52,45
USW00025333,"SITKA AIRPORT, AK US",2018/12/9,0.42,,50,41
USW00025333,"SITKA AIRPORT, AK US",2018/12/10,1.3,,45,42
USW00025333,"SITKA AIRPORT, AK US",2018/12/11,0.92,,46,38
USW00025333,"SITKA AIRPORT, AK US",2018/12/12,0.05,,43,37
USW00025333,"SITKA AIRPORT, AK US",2018/12/15,0,,46,31
USW00025333,"SITKA AIRPORT, AK US",2018/12/16,0.31,,49,43
USW00025333,"SITKA AIRPORT, AK US",2018/12/17,0.35,,48,43
USW00025333,"SITKA AIRPORT, AK US",2018/12/18,0.62,,48,41
USW00025333,"SITKA AIRPORT, AK US",2018/12/19,0.28,,43,35
USW00025333,"SITKA AIRPORT, AK US",2018/12/20,0.42,,39,31
USW00025333,"SITKA AIRPORT, AK US",2018/12/21,0,,41,32
USW00025333,"SITKA AIRPORT, AK US",2018/12/22,0,,44,36
USW00025333,"SITKA AIRPORT, AK US",2018/12/23,0.08,,43,36
USW00025333,"SITKA AIRPORT, AK US",2018/12/24,0.61,,41,37
USW00025333,"SITKA AIRPORT, AK US",2018/12/25,0,,44,35
USW00025333,"SITKA AIRPORT, AK US",2018/12/26,0.21,,46,42
USW00025333,"SITKA AIRPORT, AK US",2018/12/27,0.26,,47,42
USW00025333,"SITKA AIRPORT, AK US",2018/12/28,0.03,,44,35
USW00025333,"SITKA AIRPORT, AK US",2018/12/29,0.13,,38,32
USW00025333,"SITKA AIRPORT, AK US",2018/12/30,0.2,,42,36
USW00025333,"SITKA AIRPORT, AK US",2018/12/31,0.89,,48,41
